DEBUG 2024-06-13 13:04:03,579 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\logging\config.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,580 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1716872758.9798844
DEBUG 2024-06-13 13:04:03,580 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\datetime.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,580 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\signing.py first seen with mtime 1716872758.824848
DEBUG 2024-06-13 13:04:03,580 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1716872757.4095278
DEBUG 2024-06-13 13:04:03,580 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\apps\config.py first seen with mtime 1716872753.3204794
DEBUG 2024-06-13 13:04:03,580 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\html\entities.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,581 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\__init__.py first seen with mtime 1716872759.4249976
DEBUG 2024-06-13 13:04:03,581 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\email\utils.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,581 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1716872757.4185398
DEBUG 2024-06-13 13:04:03,581 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1716872759.432989
